ID1,ID2,ID3,Joint,TrackingState,X,Y,Z,X2,Y2
51615,3,6632,,SpineBase,Tracked,0.1407465,-0.01618211,2.642958,277.981,209.2025
51615,3,6632,,SpineMid,Tracked,0.1439389,0.3106374,2.622563,278.6025,163.4418
51615,3,6632,,Neck,Tracked,0.1460119,0.6271127,2.589385,279.2148,117.7276
51615,3,6632,,Head,Tracked,0.1527646,0.7744268,2.579439,280.2905,96.18451
51615,3,6632,,ShoulderLeft,Tracked,-0.02793079,0.5089267,2.602411,254.4908,135.0054
51615,3,6632,,ElbowLeft,Tracked,-0.0806906,0.2667878,2.630191,247.1744,169.7095
51615,3,6632,,WristLeft,Tracked,-0.1039654,0.02940379,2.608654,243.8165,202.8201
51615,3,6632,,HandLeft,Tracked,-0.09606399,-0.01941682,2.603497,244.9015,209.6922
51615,3,6632,,ShoulderRight,Tracked,0.3167299,0.4868576,2.554402,304.0968,136.7744
51615,3,6632,,ElbowRight,Tracked,0.3628582,0.2413872,2.567245,310.4086,172.384
51615,3,6632,,WristRight,Tracked,0.3858157,0.004776413,2.5557,313.9223,206.2689
51615,3,6632,,HandRight,Tracked,0.382229,-0.05734983,2.545668,313.6241,215.2357
51615,3,6632,,HipLeft,Tracked,0.06238811,-0.01422033,2.611025,267.2059,208.9539
51615,3,6632,,KneeLeft,Tracked,0.01087089,-0.3142282,2.683355,259.9275,249.9646
51615,3,6632,,AnkleLeft,Tracked,-0.01424084,-0.6091588,2.712693,256.5067,289.6372
51615,3,6632,,FootLeft,Tracked,-0.03621031,-0.67559,2.622143,253.3506,301.9038
51615,3,6632,,HipRight,Tracked,0.2149325,-0.0176756,2.597917,288.8086,209.4533
51615,3,6632,,KneeRight,Tracked,0.278372,-0.3420982,2.653026,297.0161,254.3634
51615,3,6632,,AnkleRight,Tracked,0.3131567,-0.6173937,2.701226,301.1605,291.1808
51615,3,6632,,FootRight,Tracked,0.3379418,-0.6711916,2.607368,306.2398,301.8926
51615,3,6632,,SpineShoulder,Tracked,0.1456582,0.5494619,2.599994,279.0636,129.1566
51615,3,6632,,HandTipLeft,Tracked,-0.0850715,-0.09645323,2.613563,246.4958,220.4976
51615,3,6632,,ThumbLeft,Tracked,-0.06424066,0.01071023,2.573286,249.2806,205.4288
51615,3,6632,,HandTipRight,Tracked,0.3846655,-0.1263849,2.531365,314.3,225.3091
51615,3,6632,,ThumbRight,Tracked,0.3427438,-0.06380382,2.546667,307.8882,216.161
